parijaata_line,lat,lon,
Kengeri,12.91736756,77.48404971,"12.91736755963252, 77.48404970757002"
RV college,12.92399449,77.49480009,"12.923994494759125, 77.49480009487029"
Jnanabharathi,12.9351539,77.51102127,"12.935153895334455, 77.51102126917037"
Nayandahalli,12.94171027,77.52130292,"12.94171026893113, 77.5213029225881"
Krishnadevaraya,12.95809809,77.53947365,"12.95809809304795, 77.5394736480961"
Jagajeevanramnagar,12.96604618,77.54969883,"12.96604617837273, 77.54969882595158"
KSR Bengaluru City,12.97847836,77.56951936,"12.97847836, 77.56951936"
Kumara Park,12.99185852,77.58027682,"12.99185852484642, 77.5802768227865"
Bengaluru Cantt,12.99372249,77.5980427,"12.993722489731088, 77.59804270296011"
Bengaluru East,13.00135884,77.61821308,"13.00135883754079, 77.61821308117509"
Baiyyappanahalli,12.9913663,77.65322494,"12.991366300852638, 77.65322494406773"
Krishnarajapuram,13.00081797,77.67476076,"13.00081796941614, 77.67476075722627"
Hoodi,12.99614041,77.71864259,"12.996140409276967, 77.71864258734499"
White Field,12.99598053,77.76154357,"12.995980533400978, 77.76154356972492"
