corridor-1,lat,lon
KSR Bengaluru City,12.97847836,77.56951936
Srirampura,12.99566139,77.56691292
Malleswaram,13.0004259,77.56359061
Yeshwantpura,13.0237486,77.55171098
Muthyalanagar,13.03862155,77.55869141
Lottegollahalli,13.04363044,77.56315638
Kodigehalli,13.06305805,77.57595153
Judicial layout,13.07754266,77.5907039
Yelahanka,13.1049859,77.59179355
Nitte Meenakshi,13.13022671,77.58642991
Bettahalasuru,13.16622993,77.60445251
Doddajala,13.18343497,77.65221226
Airport Trumpet,13.19858623,77.65863363
Airport KIADB,13.21066799,77.67606418
Devanahalli,13.24750745,77.70539292
